Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1788816099,9,,Aggregated,8.800000,3.800000,8,10,12,13,26,54,390,390,490,490,490,106,44,8,26.947637732724992,1.458899991121143,485.3171999566257,955.4716981132076
1788816100,9,,Aggregated,7.700000,3.700000,8,10,12,13,26,54,390,390,490,490,490,109,45,8,26.416078896086596,1.458899991121143,485.3171999566257,963.954128440367
1788816101,9,,Aggregated,6.500000,3.200000,8,10,12,13,26,54,390,390,490,490,490,117,48,8,25.105039313988776,1.458899991121143,485.3171999566257,948.8290598290598
1788816102,9,,Aggregated,6.300000,3.000000,8,10,12,13,24,46,390,390,490,490,490,122,49,8,24.396306555050227,1.458899991121143,485.3171999566257,942.344262295082
1788816103,9,,Aggregated,5.200000,2.100000,8,10,12,13,26,46,390,390,490,490,490,127,51,8,23.917058266435316,1.458899991121143,485.3171999566257,1003.5433070866142
1788816104,9,,Aggregated,5.400000,2.300000,8,9,12,13,26,46,390,390,490,490,490,134,55,7,23.157378356754364,1.458899991121143,485.3171999566257,1057.3955223880596
1788816105,9,,Aggregated,5.600000,2.200000,8,9,11,12,26,46,390,390,490,490,490,139,56,8,22.583251077809084,1.458899991121143,485.3171999566257,1045.7985611510792
1788816106,9,,Aggregated,5.400000,2.200000,8,9,11,12,26,45,390,390,490,490,490,144,59,7,22.183941665490337,1.458899991121143,485.3171999566257,1102.3819444444443
1788816107,9,,Aggregated,5.400000,2.200000,8,9,11,12,26,45,390,390,490,490,490,149,60,8,21.68768254888475,1.458899991121143,485.3171999566257,1091.1677852348994
1788816108,9,,Aggregated,5.500000,2.100000,8,9,11,12,26,46,310,390,490,490,490,154,63,7,21.415722726499542,1.458899991121143,485.3171999566257,1138.974025974026
1788816109,9,,Aggregated,5.300000,2.100000,8,9,11,12,26,46,310,390,490,490,490,159,65,8,20.947169810504235,1.458899991121143,485.3171999566257,1122.062893081761
1788816111,9,,Aggregated,5.400000,2.000000,7,9,11,12,24,45,310,390,490,490,490,166,69,7,20.287940360701093,1.458899991121143,485.3171999566257,1103.55421686747
1788816112,9,,Aggregated,5.200000,2.000000,8,9,11,12,26,45,310,390,490,490,490,170,69,8,20.213396469583078,1.458899991121143,485.3171999566257,1166.6176470588234
1788816113,9,,Aggregated,5.100000,2.000000,8,9,11,12,24,45,310,390,490,490,490,173,71,8,19.973427744991433,1.458899991121143,485.3171999566257,1155.6878612716764
1788816114,9,,Aggregated,5.700000,2.400000,8,9,11,12,26,45,310,390,490,490,490,178,72,7,19.782174718723205,1.458899991121143,485.3171999566257,1204.2191011235955
1788816115,9,,Aggregated,5.100000,2.200000,7,9,11,12,24,42,310,390,490,490,490,186,75,7,19.208983333233082,1.458899991121143,485.3171999566257,1184.3709677419354
1788816116,9,,Aggregated,5.100000,2.200000,7,9,11,12,24,42,310,390,490,490,490,187,76,7,19.119068449188802,1.458899991121143,485.3171999566257,1178.957219251337
1788816117,9,,Aggregated,5.100000,2.100000,7,9,11,12,24,45,310,390,490,490,490,195,79,7,18.925443589567948,1.458899991121143,485.3171999566257,1206.8051282051283
1788816118,9,,Aggregated,5.000000,1.900000,7,9,10,12,24,45,310,390,490,490,490,197,80,7,18.78024873070816,1.458899991121143,485.3171999566257,1197.8375634517768
1788816119,9,,Aggregated,4.800000,2.000000,7,9,10,12,24,42,310,390,490,490,490,202,81,7,18.63830494994095,1.458899991121143,485.3171999566257,1238.2277227722773
1788816120,9,,Aggregated,4.800000,2.000000,7,9,10,12,24,42,310,390,490,490,490,211,85,7,18.221646919460323,1.458899991121143,485.3171999566257,1257.1611374407582
1788816121,9,,Aggregated,4.800000,1.800000,7,9,10,12,26,42,310,390,490,490,490,216,88,7,18.04861805565586,1.458899991121143,485.3171999566257,1287.4027777777778
1788816122,9,,Aggregated,5.100000,2.000000,7,9,10,12,26,41,310,390,490,490,490,221,89,7,17.97077647063721,1.458899991121143,485.3171999566257,1325.1221719457014
1788816123,9,,Aggregated,5.100000,2.000000,7,9,10,12,26,41,310,390,490,490,490,225,91,7,17.75689688899244,1.458899991121143,485.3171999566257,1308.3377777777778
